Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-10-19,117.25,117.76,113.8,117.12,20034594.0,0.0,1.0,110.85373830877784,111.33591661613373,107.59194387666454,110.73083011278517,20034594.0
2016-10-18,118.18,118.21,117.45,117.47,24553478.0,0.0,1.0,111.73300463395621,111.76136806380066,111.04282784107427,111.06173679430391,24553478.0
2016-10-17,117.33,117.84,116.78,117.55,23624896.0,0.0,1.0,110.92937412169641,111.41155242905229,110.40937790788125,111.13737260722247,23624896.0
2016-10-14,117.88,118.17,117.13,117.63,35652191.0,0.0,1.0,111.44937033551157,111.72355015734139,110.74028458939998,111.21300842014104,35652191.0
2016-10-13,116.79,117.44,115.72,116.98,35192406.0,0.0,1.0,110.41883238449607,111.03337336445944,109.40720338671021,110.59846744017767,35192406.0
2016-10-12,117.35,117.98,116.75,117.34,37586787.0,0.0,1.0,110.94828307492605,111.54391510165979,110.38101447803679,110.93882859831123,37586787.0
2016-10-11,117.7,118.69,116.2,116.3,64041043.0,0.0,1.0,111.2791897564448,112.21518294131208,109.86101826422163,109.95556303036983,64041043.0
2016-10-10,115.02,116.75,114.72,116.05,36235956.0,0.0,1.0,108.74539002367273,110.38101447803679,108.46175572522809,109.71920111499931,36235956.0
2016-10-07,114.31,114.56,113.51,114.06,24358443.0,0.0,1.0,108.07412218402042,108.31048409939096,107.31776405483474,107.8377602686499,24358443.0
2016-10-06,113.7,114.34,113.13,113.89,28779313.0,0.0,1.0,107.49739911051634,108.1024856138649,106.95849394347152,107.67703416619794,28779313.0
2016-10-05,113.4,113.66,112.69,113.05,21453089.0,0.0,1.0,107.21376481207172,107.45958120405705,106.5424969724194,106.88285813055296,21453089.0
2016-10-04,113.06,114.31,112.63,113.0,29736835.0,0.0,1.0,106.89231260716778,108.07412218402042,106.48577011273048,106.83558574747886,29736835.0
2016-10-03,112.71,113.05,112.28,112.52,21701760.0,0.0,1.0,106.56140592564904,106.88285813055296,106.15486343121174,106.38177086996744,21701760.0
2016-09-30,112.46,113.37,111.8,113.05,36379106.0,0.0,1.0,106.32504401027852,107.18540138222724,105.70104855370032,106.88285813055296,36379106.0
2016-09-29,113.16,113.8,111.8,112.18,35886990.0,0.0,1.0,106.986857373316,107.59194387666454,105.70104855370032,106.06031866506353,35886990.0
2016-09-28,113.69,114.64,113.43,113.95,29641085.0,0.0,1.0,107.48794463390152,108.38611991230952,107.24212824191618,107.73376102588686,29641085.0
2016-09-27,113.0,113.18,112.34,113.09,24607412.0,0.0,1.0,106.83558574747886,107.00576632654564,106.21159029090066,106.92067603701226,24607412.0
2016-09-26,111.64,113.39,111.55,112.88,29869442.0,0.0,1.0,105.54977692786318,107.20431033545688,105.4646866383298,106.722132028101,29869442.0
2016-09-23,114.42,114.79,111.55,112.71,52481151.0,0.0,1.0,108.17812142678346,108.52793706153184,105.4646866383298,106.56140592564904,52481151.0
2016-09-22,114.35,114.94,114.0,114.62,31073984.0,0.0,1.0,108.1119400904797,108.66975421075416,107.78103340896097,108.36721095907988,31073984.0
